ìäï[é“,à√çÜâªÇ≥ÇÍÇΩìäï[åãâ 
348,117937076775551821164594944587025525748757531023300636458451075952874546572559023534439880561798599565972849160863126998101432517014516872853516153360564034656919956769513991480333625892029434336730013077843656723824458102405756394216595410032472907314649668243589116569274210728128741132391295132902876730400835657616587140230879216142874203858203171234812604934161860043528315001386048815342032858145081967679630865708306174508154977283404546956777942375358619880826330936812150889436704494031936863954394950165707299660463841906042091114623515449813061125224278651399064613090248989983360634501220720888247029322509258854610514089781177178291853224504611816810118095294360621279285791758598801415377457414646463777159734934531078057122243117670932838992781352612094593989158153018098245928376116142981826729173889335463797155333030732584250635918537379778381209506360355629365026122602314411413255586150032889843011693024391438611456903964867959923808613285166847060256332743264761458420615914053353246301274839210211295102775999189800632430727044841680902584883248302634721379783705293169531474000537635466636902769752288253055580234634077782503906984358538513235270144095535402982305415453064466111333789537958019535517400865167
349,52751654842618935482778640469637835555104788882979612001444787752853281231833649954380214244206199577431626377049442406578958035119588098490565925861521770583104559052496411377063540519520446876339654226221087554616827705012897520587405025781716631041375211828725907299501078766481094950099565306109453138656977735250349270257451905865942034289422256473687232098853418925746577305477642284527123637130847819885774732202098442079988333757709116053947552221471255404418435464318826526276838525315219563786625925245947752451104545583000408286992621879909226599981424730563825611401744333519355265483544459375543982581770930844527675831958057268348325925363119785958386072227844081780053489596362890976253255222907406418504381446088610035930919241095697155328502017410718044761518267562015258629212174665198961728289854866369132704833586650862547131232783970251361450501327834777766290815794280124750398551246567091507782360231479582489804848340395653575108805480752758571153805615481996135293767917781353720081904097060834978319924022805708005643299523602807867089266600332708068347402079333055207278725646874713239341762878958721134500606055582867634827810824827628281034461737759543680135126242065283282016536910135595357631393460782
350,56068066169156247054212822263009170605592128383516411718842800846018423906110127260411793347697179191942102743795357917192515519644938531691531942317472270832714183090016765592610105147440953639911148714778567716741423360810125973268924343076100526033522513818265593953965043481255096099226739889830454312698063125350877181099056671867505450526503817596585453635142754095166246552600255469535508031191492285040576488261302345516733405749219389277844805852036586542461536225424488297941888435772692393866773935654149764244730198156369242525252147727234080724041977640224237346821687503904644599809982099163324192082495561434416093639322753319005941271208484431228562358547337288115345122273088931656942987284226766600883631535213129752524864382620086891417723330619964949869679496163976967156493036892071823239306433499847328715156221121081101235205610236980086546427011605806101515744239934579053530703743028693950377896829541981077634238715437957074226702109009642429010469794033010914437913187238358799496412695994340777085884677916003032423524922011938527733253744256631135120763625677792329616063143331242426836740993498231115396714106387154600348575731257779001020415125260662276594311988181745709597790785547122362809899640135
351,26645322358206060269207706522596566034274413640433214297803623486181052569252519579937104454007713526201716109615320381229350650540979975531035859426861347034635417092353031459677254119002879284988126603854904636814406495177492155671764963580423123704605993515487906194578195832246431095223138453292482022009118040383091488409235784411312214684597425584087768476700969284387692722594788225544277727809763733178905156307510768999535238463450685322816383858652887760548353134735567927124614854371455887512229908821477674395125120777555882491904744937749297199616463191312033778193056247008309605620166869282457475298906083207801684151918162807303810262030372709457929820937925144053414125137316667968165268632270381178003862420426866450205451707851954120481688624865158026140264761612525741665567630147846955281443594183523726175693075507151150701514639772968055563795989668481042444257602974014345706888249313846255804354345785402392931447480729024665146052672468310840883251378457753055102753819160131644556553883204478593225376726962104002613202816651001587582371235009686355928912434853517278119276359081762678600025002976383429405919563457216001149965570520889767115041088188452153966712425932689112220160090135464477160588423961
352,198119402116181053769929353772359823499449651410575014250797952522804828472316868870210269365671777912283750664863399437118769810566364606222303449726624810689716899229031085061712643003706733438968634626339148808975514403839939688887428650962715869896318549566904297998009116499507927148541164381509220543623248321423491372289100655215918761665491500533011809170322492925163129681025319132343373292725033628267917252345053305866446719453366028281058150613705512601577143706644902843697312815050058742038063524290788254242530760835147106933472469722682459702643676128605446166640898226680375268851945002003347385945523686688666564168022801614979089957324542809486741724931125786004520896183215738643687021061027603240936100962713120810321616059705265796564093148060666936592538510566722280763270551792092185018962174421381885963565549622875104896071467931845756097303313508343681032869914789335434766229897487915826860754420757385987872953374272058251402007028544721966625279529675785892311972854592884669356046463939251776234705816291002293363185967956914232579211395930425061850403929564990713886774058330778043023395160188757743943504537851018260620092499329127538425963072503748547033635430518028940580793183820238601793001543639
353,117665881524171060293799137742904992424110279621992499747165250714204640348096988877137065754244484936867412854989951140423564893584448189070404377028014545095567538057197943007533227323825404589411108213542714384593131813828300993843827991049678588176116464028754041279584817487662977742173317363994130817673504504157625163138885219371683324131261684784427416101649798064305276233008416964584978706773439420694228216573074703427670876267034759385412747348591776489777257958991776297629623311112805571847317675543994781032512338433224894101072086742029878930399151634890602221124227022564571984717071201937827423930844712346758537312999841746116832308070444752435105184709008278966955805492757613707817475811837615908604120131077130225147549825345970685194453363184446962900592631258121484911368342192188097652183443345024582303185659387152355246342205611175956965878707966894915389902245833714196631974491517305193563236319136922804835348938068517117352076988438393834186100886604907965125359875429145110026797336548596032354133846538970587729025614238632659461056522046149239197036925910088758389162336599693509279456008878115571089331169081418092864842582577406773116539043677129527586998611390135440013948333503549999836382907830
354,56900644557964226260899492292404033844360757844810283477993109957663395653591762774966676464528333301952218218603138457068096551589867131024475478165964714996120876902135849324118141371498549035022578770631735660591448783355645950448009273556633350698443372409125501771964885800791171276610829403397307224032566994227143457159241475893770865218206243069530937383108275666012927463059246909257368801685828998631516554645737579611939587292172633962933346205731973327533629910281175731042793650821064587570505452261275243411348905920686986431548855484349404171775117413093963162631048882055460246827671914942471601669761586785311297994800513736066595418970032311627319271149709307655579966172704599928409844931746020703966424916449532067672707359259452488786493721135644123608540424034884827950553985322647296855109593258740723460112059672715357931496041701966996553081713619630940175287208723268276060268620682066384294326171412274273125701714022464271401209487441303087512753308600036890543877320953675855463765324185971250656507524122062632523933166904058860349839020960035552473123150721700264816220173869006678723858044528158749750446457459788294520100074847451253122434555024529300451853256668189516255033087222088604182870612854
355,149033735965959048335952564332645241029145134551946110553054716476596037278226617256693633044714366559152976228172242137523425218185394628638405651207215490565965062909409734911150333363576005208079447285944866533796878868099778844658347521518235661701655693882592304632979082669117331395228973090032206490677504851184325127665290062377611809324060279152377317904075708280247575149719517306432398903630301682268327893181395959651808185351797646903707281940667631860024860821172516492622830311035832578222569239881364287416491638698630644148149131556071893955450343719982860790343054339075254213378032606080938573136544352469479537564128344855362784100126513027837151323068781049006216549204921523226883505177099833230118568934200148532261310515410650818736828000398639604423969284945128847212793065130314486480820473777663991258077645155786204457542759693703552381048652319683569117515665642566050606527298339887267762977373152832610688204421285603769982283130123356793404585925520009629644493662632227629025996404041896755607557677891948289231415333032804124071725095581857238435637304610728899479466969817333302119363422254866890830298712975109663598640854668864659411955625435092087827777495558238445125049035887004746821460455204
356,70184129633700262253622911114638284904803289390228350291127346736047763034942142363350221832221396912826419499775619489012092806379765148584563915686557854741028997436720060875743251668796859244258184578770462261704346633281541352789131257062339220403570594861974077100416323693177805055426277855036464624747087468665511325140669086951043859921487946049766524904696617050379272860739646416504192983712425778316092601817760720083482141958989027355820073517097853193323755195512992966023161405500975043906986925785411432873323841454099198167900123794568839794179706863937835735136148358178510770447386952418758295343950435832540480924987673204915363547023848635739088222914148166012885446608599572439731051411080905735242858992032937432871421265319502100993896910693936191152825057863079134508239779711082080685211220009929072517793849968152176961063807299251552040343439137260617251410716535989546972658382013462982850299393969546759303585291536271615433761130756384822115894188865614584993770719709113468892145498018979422862379880745045575729207734386494174448819449105189358532853979766058579551920821488892278916506352155631273347525904473437906417275452275534506358330619648952131788386687394306579783833106397764518792200201499
357,161518818704732459221299452268010030354603016865444546834188660920400658732492410909672483198019456947261012752594536684507883665081658375174342963269294376373669551810624839219882266225503370630783751458292869423313246564348411391873255181042707383900362938233973079997622475825231784061645937154973295727270102061999997366527144422718023273789512900297482709514172039330679294329906704720674024849785884266800159626867695315631082828552307486722862145969038741686257199368234191274917840711240741506563133915402566661534057280286683534502577236133723257756983723962843079328500097865627123886680617492647369156853703692301309634254742117605497429793607989251998527201893348203902845120017451536933020234704512927925906373101316440226634797406277060959394321801091069967095217758807952882118209955212077599255517923628228945111616918636416067700079516756184166846094551056070271165052282646398737140210036281415526316039406353719420967629441604277658718047034382968235416372663377246121106161691305614639468968930700899558228921638699760924086582513857763546078412715482424436127875448076414367948866182237326969880075732248426593761292025372790374207088738370466662895403846509263034171243543634564820216008383862823470352806671771
358,60550786915594866397071921617519352764352299314635006462263551360957290692198692703161629762048784659220595615187754152221184795146694395908436810859293789154510471042882002778376482968577004813786593381880331090645675018457550356614261502634852240505441466118123537708940105635111809888174195324372292347617892011327082451503654068362848779089509727823417221703033612533191490692259440307012361208461539918536356630801051060510359694634433153503520076533735398490283968592686391596333432663082831146487332412218049348849416739108433375589798020200828004501757223571475060803660117155880653720254868073177967197047496416334512932056962361358737316024906474430755252178578190686137203492536323337276864898731033435809613915681228925429432346308303617674941887802283239756382067543042817800393282924885556336430902962720427498536786951093216065823032369501800821579588726207391017893132773285636459896364146034360785040413731240257635639707066187538730353646933753036816358735178129687790236932917836152981252126267755258788532383840068160987921836176485349519188571624236443832093219313240100561148048087360754035057508406155595746146900877083254404768628825329940708717152924564997730069172667519115351858537384276410129727690573978
359,94974178298322142333114729551202336709678935027091317868067539882708320606734879551537687283398608119308888325576557260180559932602230001640532774309692918346892192195954026924078394364194911923221457142684275676828233788996744501345425340706387991113822355488931158737651060409236595511182819964500522557775015254191510736331472828949763812827887176459794145418062444360836374767576043627585755952469973397438615316948709435873495151216428115623150052369072169486907711951630879635884848796336705898326599615644561012035860003749497383677715916773025739244017205882281314129782328858254987030235674283628471430818456116911591361328612167841746989952849720951946832219647680657486405151937667247064859596463265773144923408084218597747023964053125071763697434263582165139898280762404204023442226541538193718080590980273743598921036192178577360460932766541476930162497597567526578508559656677724821259321853368966051332856868167584035201711683427279761709166701361495036564725389467350422799169934358025787477820929198753024762012437057722078185080456680537633710777490041184771675014425165545853939584321172313187532846775971880088472498577572865676276879343321826658859726427181220905198432606508452716447960304541722472378415047854
360,136533406713836748781989823895259294535553614206572858561337241604686967678142449420189941328078125842003934948587666692347274982622741440747255356689465811210337985726862743086393660601985573313951206160816155523662931805839767089279201172015482680513791865882012264902954832971870696388808180086181360229479031292402819845906832899467434247251911754210018685193621601605345845035826621181745693418131702740518872556387862252131608302264129251869938673582218478874863592435824294106130064577674582501131820483477932064141785634374798747016350609234859363261848822207210966130485636839755045858687131766157799438497731526023186522566445669869860490397176535388182769777450474963299713116427353597807878271345821247622660249492712493729000014604142177843971274919326678622608057975512138781024110676927123088241330235237814900161244229593286086094760339042794303237590931840129114104141989791128186486767007669658441300381879582304177961201743730437120831410117058437765928327083506873549052605926687183217252022377776568266044193303838866721862070342412548672058817605289341621627075189568945861891623697117174243034436847910489554229622310397597524040384893633547485556929143431864254227856390068274169991436795303340129453009660504
361,162164500688121942301450552254018231666628847314013134188957658137257224637369811289559425533144737538959555926534369350529112861642623762604133775698256990436727499500029528454805133012134903120967224652789266909738834919958773129394134440643705751481496280793541894673296338621236380499389568062117235613180017867731905513568032483973289933335375433320294088304655082389659515402159604597061329364707980259494324104290362868721195615920643437012300636997369437484928305214470892738677413485908168909675447250725897760083798292438014593608048682581541034192424942081527930170608704706949393350461432989403423387785737861955725342250140082262252464364610166414396384146679387069118996242786958243994490629619154174912686260406487999120775157881406178720111260808426055650472677685591478008207510394190143474640917348336014433255748291284286682185252069410405509048429501150672721307452412074811991690881033896632120003100175689333199539078895988391440876494401846633867548233033614648073427577701579370150012306882696922528965129193389136504600266192508843461391725275136869187634983180284266232031201778096843872339640849600815214560199244723202183695573664589487018527591666550648225719093876476617751725850286037222912338228256541
362,214843257280431200850427333117414454952225456658895848157649275739269454790288363268600835011095116179319476414446316605142916285078237190541386955300217563159159184221556137105676283371612838507221719751810692043361447976810935334829381448580106266712664024442583581943756873683167074658340513366700528217533281043651808077060742148351645457064406752206701521760240325151713269567306222173883329791261887539186339228185891690950355776288412333059033178108152202970871273613411740610349700227175295779708836142454215268680287993692668604992617524716291563363612853484820451873068364516371711580738131859281227473469430788619637257341731682839605908956693986890889717749979346853961015355500614960292025680933293190966973904327482808447929542845597743407177947321533238064087496518883477925164752307531825207443472727898885206807599381579412276767672801365519957768485950342521874546329336678233275594655233276051177512252397828633670971456189511271071606524107166901544576333184569762273592505275076178959967571331237472907561917887469996782671575498604922927268904528778878256398962061141981939050709275629726713080837869703020552968877195048056191667987386917295645794231708757229837822812420378028588262264734300442633249399873962
363,85610515277852676382292465739611179823530567811819762310424552673420902853360248343367672439106619772529799796278381600745730987193911500805372219624446625671504488430236037508969591844630871465827521275985190320356853767173372548709842720193558680382929018157072840205674533780116303814980686705172925755808745446577247896550191435766733910554302039914340012357699227887873772919842524972810275111630582724868713367975628084235356896445292721653945225323142096079255343541669393523067863233010482750345017438326426629700254021989115741917793728847495922613471202301189963710825751095607224026063542355376853684275902416185714752618965931727304743335421250419153106481136338058921266590700521574256115346456677515210054987236783155195431273124463769602755807171190718312759260039631380284220992965090396761427291694193108615421427256200625443606420034582525923364036100391471334624835083505705888717522264201296925889125531745830151313385880859351813111151564420512705893228624265727381858522390758530999775459653541406631264977108712559423813713571620340382724793893543352547252070466283067040107209609724633976398857158364181996321512494608148956212877280216071470843489772619624323422382074052793538852722257320349188549036139271
364,153280457196321525311792562218308615100250229143623328641870445538611090059327382644216945349067092419793470020358245663948573251119223991553437847832870715127156392207851444698484649555072687826537568980750861395428187137456835471325836839816506075923407387947373897628109358843971518566169354129696571224394862002017424302539030226334964395592045337505804135858626030978884820269021810395515284786868138696973911883661895163458702933098867831855383268208957847328239831492389875657550107207382243726269531716558136899187731001926504783925274100136464397316767064670345451136288150704963007749829807542470167075230628380152555285926073462726159555431971372617079702797865985444877140520618787300404371598155275038060718217743145827904485275427385315720415096982716650295936150212885416804039904195285366285567794217634152531992474334096531945830980587993535036260128322355376851994827722035316261303663218983036380638476610115316821001924636165845624964089969804849406317341328211947922021351908652230343370818139623876232698143011052214588698148158488473961196492742399743441405174715626321330754787637640024762162183525814498766886440814419194588143356182465604956622242358296313729695514085046168482050677021324390085959756843773
365,150776639685235806037315426732472085739106718848734758161399269742489008652686264093204387140577843376167853675021043751040758568878412793379539432913504531265707439561155968168362440126751739823629160332262883118877592429183065975688561392035415288464644216252368258770869419811376134989322045811828100806185301027621152719991720509573343279822206599716494416315472820148720099609614490856364276758500450648905999019640645196381455053237802512518746125302009952884035309794451143715510592836694919367576052948181782414392869158808315353006673180878531586770808146245045854700331785855045803502242174815917431939018707865445255221977658536842761546042123258948754267638513380475153640896273736489613114468174184380943543329100181358219383324562346445396208904337779696926725929315637910029594446573797163372462505361056048985534882797478353917596388719272057594602282846806164359012722273537967325876717177660744160735639810118904881416205905711007325186740018742762928223623241750994560372918063335054683328549818790235785587274057849210761681977473924583782805287748252356755726974527620771468017766270786183017209152828804019742783969092892995419165639812163082670680501304500490856126851461101029490353866818701237895320307284442
366,155878973369387036565385189495726551650096361631326351610838568028698829786030870884633911100882613374541510261390280907540090825093377439465794500566234686257260607767739226682432616041783188082066588059092136470546369090438049777565078661812039766916493913924117033088770072111370368380261116980655465598962264552870417448802053587840632863096242074887273517714527893405020484061648185780903564139921240091199824150051322389081649449222237323458730928655584126347411203253724797814893237059198238326859081279586860855593674281027879629649491493546908749345332374030276992820294881552307044359507661519620872854384756816447278121457730202036180398776672058710020701829708106499744261231491343495422882752333336186447479761493153854267379194038669782770705829045620650848369750771690856110324803287273242954004027931919393954973702003070425993119058751337164788804348592706952108164321495810840283763068116116087534480845591070635723779923669942386122128854580583059324318577834418047124778158232148189463697990234069957286273019682247809887097199575210279723468188584831446507538592144353277448246911082045057894783371983808936120585232640206074254578954287576172834663227223812061099667914134815019018034600816129732127324616717468
367,214867055926346671782934292270006305403185551375216389794677278112611038718979824048761704740105951664695789040883041462864982259915119760660262470990408509153733806634346483018014150802977558443632382838286950215828100121355742242485405323133123230014470276433237501509818889570369087834107666198286003213404368853483001614017319685856606702622530804545996639823462614732747431278263982006701405898280588179829274780328431513817618654720553298436960259063269693312238599169129095706659332270554160570483034740295042290927484013685825342822356546674349502877851635510373664351760190565142578512994290284412530462936419940521919953320268257553480652421779261496616183196211598156478234243755954826570670040078916402613194444021452457559943240216911929793171704901791875005346155479648129445888043609381338954669866297112200300588018354083902277519770212268526702263695491257251985731526884404643802229561449000429781618397069220818425714799817077249731928813952928874680193721693782152475886502309501394892988303558958113842847125517277407270439502200203317750872464414110888385950829509011851219245560222009999648719136380713376071054424449004715089822387452836001754060982462942175506371430344552786858777666725469711257817017101505
368,130829528463538041381496331681771229561417574684856597619408596722111148736362241321985221386126136879486660347840825196708972947914812966951313852618497206803642954512773064079544354050105729338800864037947458028010541512797873488403752618863786892005869829891873015667388291252763310068096420699275670738561992510506393274342857987180721325565403290097854354179819534475063058529828292890480781178155435088473779369583816727773005134348055827570456322272355654864006659792933684345520166087898310506723254342746472219187173113664312201724363028644215520467957687300129921180362847808066824938811803584846507427648965162174215932633537437361303053247364423226705135925260852722559560526681432810090132959382983059184391960656073284080247986311565926552991437289846863500322912591762856779856782788051371849768398200549182485391035386961322367194730898117239081278192943565548552119185365155555165821353300445236969439219253838818124644293719258315167942496583150981379709075991940085401027062608055862996017474007078691331887147791324141927878531939387292122556082301994973941851646367190018962138068950294321388897606611017342583289455688298976839521002984023689708946680050526308137384528458401565419155372717622428290063919463616
369,29851186581334066210924178776069928457885137031000852529131544053788107824533079277943917311356634393906022637203122864622058522921937941344467710318710740475911726602956718223635702206831962407860614491901415781474000171124797706280470782481719225407511208588849890962413916046063393702912356590806772503030734216795547526916542050928840941597263106320715966917487355513007991733994081223636787088652932358764930368964837514158936234169020974283751527309063283616150929577049614064427632612329107203225024565447315025961236413933918688885234070681743783022891131748675238795018696872387172901273796920360937257759811635499675886192488050675588496237383376217599855185730234509525213439177781427017867735350788662591047852344573874263119732178339624843016167123340471153252731267135251291090913683429442768684335186920186018322065387361552174512578191916342015130755050392856937235942444157846372036856873831966380311845118386924111342032019397565217077403391991745770689071904480067830262900824911750241617990098184319785294899873101238895158302861579451319728404452060285005884449327854101507843435177722528175490622225232940703014477923656912020342843276626674758183642636039492139117525760653165296266641360490206320133634141543
370,7947261116064221653993083345136178092848668300370293640606330371442261725710081326850570415879845205680475641185442122322947688703180300977281742599271355343415861875085252076761169107292899311620706002611406868269947369081945031168594693815851705788537793048127776552029143041840889928421833173396360669931292764510233805482434939532686196074531274229618971875603049441693526448905775465984405679927368551338857704495136110564313444552753747765428837572265065543085160286301806044831920716106247596291985309834250623542921012007986842036356879658213268821511038539804080809487977457105381959599988470782812321144637435013332154370619732011256743534465362505213392982852252860705913010924736086572084636192564119286143868112525363119665965628512775402284705666363501268704327743878916077943510968481624469095065044723122165226624422143868236211649882265929900350761497987191828642533714066393235981039140736830039463604447211705138169967588080640622476253657184469519024561249322040767968813946215518635994569200211535623419072327874296513440615363092199812295819153278452200191510941981016358525228051573911141899345573843827193940940266283757908190578052658792265984557208951831902626596413034304430282074279951134059554332814441
371,220329176288510974252833668992397617269795739832649079603379084910342551404518170247246164344072410141492523946195564344315209086896815177220532732269385007215245652209288284926484791754497398143369536789604990240438694159565394679309293230886727645857922605397639253106676279859618076510100265984712424489365284565611066747057113702295260473503156955965338363319018121942350553005673882938011213595267486642774385590496357918055967710826307183312612585177054479740243208878096263264354908323105513518339270837086559181084956870971158516710293692553671015704817388595833639679854846486157787279412124038284400976439856979687169125279175406858760566244359333521148165750218964832289114029374394614181359266505215490305112562216137178516378979489571011721538463285062044929913096029636586934823390704598125156621727296292714890342770551905969767899790523250169820353214581790863298184449036545550967464502350008322044807784677475132412814519171675421525396421978193180487452861864934138148901784559458251584964836306018303875438734669168050580337125729899785568102865672504505949215569447043939505333018346233748229828632337301905185898898311644365719371907928192389007658663533769640284943642900159993157629555840610809813292206115046
372,169096481451877991324322643763389536139489134886722995347000551865858190030406537908417037550718899269213577008919979048101144613815793385685336522181875448761275699785197662172000837512927180954063416638724207534579173080015190282100732555872924301890629994964205971755227785170664300529626619226331963168194610551055797856687750636228894261843677543334456706338210551019188844831268702422235658932070025860941053943884658262458774819362908250665451367083082038945942939506968989785208664897404220956485783583632699300267574902614820266857246003537837610498863932051515609221345503720222017006350172959759343089531614198866374516389120776903562022588273754166488829409863084613897738684831999396433164689989030131361545835993104223245871632694415952680024415746421026290451197409067244106803940645826658880706951098628265671413361038206229821705012431766877112999070979848496023450288851378937280500706366116729237726838854994297690952429063404242168359317125031149591145226833013298925036961011514567882384260720984370871033530804269208256167821765308952703889507731901949679443153219557233824606216751124199809055228411958563410978673765299756522966699599177948944655138173620153638887199924321681265055385107023791829393473567301
373,110083422645210438989508822803997490866655274615724286553987440091978936583307984972871095917658941236338932414826815403516908644638740125161984166136138964085487524147304726393615292681343400375240526893726709528129890548019813043564652351949917478671463486887986761258464682502489873607606979750909980669910635438046648705487670853564155586084857862286193939387222477359790222064069755708289983885753992848485765712970818441962209781624397927684439626381270982072388781852640608714643241207886182544336109151844646513336034314010849664599927585177612570387321271310720003170947712952339333974540666480178047318545176565637284059534338177485627067735553103388325432732132264638224582648060030058565715382655212438911552289807737214434708579217220224118670926170562190830347596859573153216886256073575597706571755654022650111495909713478071509505654741706508593229142094386574823636976720196605162252179390347971296271307028125272958519328801727713014629628618208304046626885047786249774480022094842965868861561842224605374906484049163789668068539961601591578313489336054314607694217225498061928816953327756240250062979153715639654129619028314047793581288175295173515193002850318979692561381613897393522192585916081015815931598268119
374,5101801445758001961974040551224207904049756622202180741878720051671513569791931717882876218077586262509265953081957990912698025647750831433325451250042276907908164700538583387658243163212757563625926510612267350212012173622533133540494328185006146437190899522866140289023396883497722800223948074906514828296438453961336266560365768031668024568205736869317962335188059173454428058021367485738645363256011240693922056566087271462043167263922147754517682833605491538024867277147926678628200637884894280919089608141143285582169424159951913738967536883150557543696566646320318554323180804559552738205799697223699420477945516896073164585922268024732322897325275461116416653680166461395972589684202299530646164396256710555327449285018362939411031804711505363756509975274766392484529533637260351658804982076377956612906100453101349215312455751141723342334986824730953444735734110684186536553360218050273136348951393329164677798850915695685632061227660344209744347915525399946635853517944174013200599004055058429943837846950865212136361587409372536379659288651110641717244768233468909080708504645794951263965617531465676932832956498637425755134960411692911599944156720239704765099613429692379785789692837137069132355073342660622434917186172
375,91337033247703001210174231939406205808072822049850657885619950448588534262426114772304024407124886998971466610642912812633572926454187991577207949829201751124481188077710161064219029282438697560799248131829942147687592023030562065255702433085052296515437443835204073673827641423061832106687235861190915759323321407923004277970853944230580092063363891303699484505147207930949806725489647611606368446269236367836028635384577463413498538147976981307926224730080309459084677091746638401652346253971494761385801115822950252664806717632542114521574431180705475531789818666251086474703199752429458292310826822496812804710356249680826584645833882104747746449756825653669692052988711069748900892582387906463551907997983305828247931104264894194087033099150947142688595903739238640174555204014357085789943291629934123991533624390792794902643604650583499849828558980123965378916256278993844653274956834773909405948309286955502766592519548338408288097104636628933682401514904194793840857817626261859699184101609259756625881586599011713608150320822436122462970102175649476064985925003675503364865978083121873949724550427566009337610927788708965089877283946198088492273954557565126300919889842342218915710491014911034537096134647098508868095294372
376,129663534615102607395853152466333831151909434335176078691010475965821468564502720636077697922970379326324973288722475262199452687910775530303011884113436194762246644630012856273303771936084163642835058334085668715108662437815933892504626409767654107943497918591586206366979497369755780929870185648316215456912426528040227244679500838150081857429253841766130421444969530056115034218786952504992122913733318056228119093478571734810232210831399159973247815211228307196474227065645478951584769528158757927500260335949436010022559484112231104563606405873517975240192850263246040381469885122894480072261449299789712849883053293174957771721573879376581220452248955846272730876952344652441518595978370388129009357918306269933374323659771910548115389768858589784797192502892231343764635847644412254444092972234147063819986615391851844598198214390397453246025217332386592649423399802631229909762846848733521776771661423138318581012846383153331292061161234001593194551154765091182484306650551197214212786884209999660476706549555865896276345952470210876749261916785245203596355128889981320012659442328298201040735584480847498617529771178422852418773869478948731391532784257447167670248359089893813703368292210864825157870998881947165047582121395
377,63747437980499323138241709988343618961286482557007603446771758931964786801680063477474226609007938950502547641340413720214732604195134315262745278171713285539730040955903782335480878972114643886950430624123722545389851261770741047076494259404036116383035708049030075162541127639424533228014734007662336067335394475929532549775047669253003690673616151330340068175551416060202048462052479629572723426471467126950138112901590947710824618653327573278375605259588282264371723536787579802428653959178287794761951081329810167806237499948737381866988698381553357734531323689685908831262027995956978419014463614715675211528137599838728091938562448601864191133205265994316509305830280880904636423452407192487383114836558911139274652400043758234037246931415753193059876151890736071361996334208896666891672577501482906630868492180748537801225631955489355629035662968402228852634863383623380620512599338268683122135100668737465664541322756924770245744613780471150454510032984061344928849474699956797047522974798561487568242804077912856047593402508008508594776093947685637613217687643799706442521175802369034688626375850924884623313323481796099801322461609256874748586936593258995765615452905034150714060233399641946914694286026235503815487573255
378,32730468163877964341161851430649413996994117274228080523847183449728556075515617222093553124328654694909128691313148363676794713649188985347368937843066240613369253783328161479292726054229675583202150581845986774612760162529788305539746817343879160499837776268429060926580931120481299270211000736972801743577045446898200517181556031460389207591538045221384335928165248691140882661142050078534632492853374156829868194244591465328600196356018729080010412524064834748840328024447565073893150055711012556924781667612787535670083650504155721652263078254097776228514150757125486386339190924073666088988047366426619121937837521323998588492239351115635086757352191539740945525308435022011922111141959093757472078402405647137279595933667201825755139718512024289384036100904213646555367530173158412577607992880586441481289967011722740177504133507955226070098262389247624030727489431430738897072301933939872545581129894521315309099606628556481099496970253302721490835695709016225673511694649653427611698888694811336818292825237984026268094415832328064771749385651786161800490758125481120629572097673518960006063751531770419164108045664821053500934927754968270685204036496675947571642820846040447835971877983210652799148021462711566315855051882
379,3791461090312681243814328560607385581600578818401359716134998939889107949259231871630607283540571343305983043232995746459973526646201822836037091380058075006839346777694500170352007031551665886982499836109583203968846244272376443574709473987656598994411163212755440253423974348010243231704426959012563486599697359900492361943185962080604712222416867984199546260047888821557876317281477933628903635407334545631610257780912520609466051308157596908077809468191295069453428534275852664906080928556967761254802661358394660062176743407208519834474522854590463362922875957865654239934344430773071551076794317980821090895936138151710101440614038282223002943180084770439450362302762780643625977598844621076912466508167764746138799139013578689265691512390222084573403109400420225644323715247925529046781670641726976779823514002611391526945784278744485287069303834936785634114394538976866293702943776428045617143194900419249678335398974300878008261152103602893446589082606446463093078148645661969155184616714725738277051021701563308314178414984765842536253323905055174729707325468154334079797158253531264528954354027392620008488070201198881967993963816175061490454817163090718290612471917389024496191775784877677510120223346864298200523629239
380,194257894153278586534706923626713850420899075493865754818500096175420480441778510399409366386976273729335467832801843641163827529674414281589736137882680680109434438998549569482065973672192573904663765780934619921125235211459238846154240149514781062547757663614379519078637499889367758147005515262576873042592262426551507550506872613631467948561608748488866243935244506500714011658245962995579070494473241891934472233661499166080563555472716213742890131737648963232728831370519805585977100590008908650249438774032609571475439963859957815191589114806134914835904920824996729946358858098060344427198873892779709647178915790795590505597647728624624611862092730071291368958787312654182422402893216770684424603586663052536928105853095034432706464242469406249342130266991540880288835687745048213145888222882480281601648371564761725258455888180730062045489642670258727154994758352737597159594941037376056249169324927063198107714555779724463849609086105463916686598354488944609799150775145007620970401622902831752338935024982684195113143396867003322311661062351146873758972416615887361895770128305379018739388807371851727689973108617672402752984052250254281315246633542444400440882626477369627828018096162116604224203145725634731381182882361
